OBJCT_NM,FILE_NM,BASE_DE
방탄소년단,KC_DICTIONARY_ENTRY_INFO_2019,2019
블랙핑크,KC_DICTIONARY_ENTRY_INFO_2019,2019
엑스원,KC_DICTIONARY_ENTRY_INFO_2019,2019
에버글로우,KC_DICTIONARY_ENTRY_INFO_2019,2019
갓세븐,KC_DICTIONARY_ENTRY_INFO_2019,2019
슈퍼주니어,KC_DICTIONARY_ENTRY_INFO_2019,2019
트와이스,KC_DICTIONARY_ENTRY_INFO_2019,2019
제이홉,KC_DICTIONARY_ENTRY_INFO_2019,2019
세븐틴,KC_DICTIONARY_ENTRY_INFO_2019,2019
드림캐쳐,KC_DICTIONARY_ENTRY_INFO_2019,2019
스트레이 키즈,KC_DICTIONARY_ENTRY_INFO_2019,2019
있지,KC_DICTIONARY_ENTRY_INFO_2019,2019
에이티즈,KC_DICTIONARY_ENTRY_INFO_2019,2019
레드벨벳,KC_DICTIONARY_ENTRY_INFO_2019,2019
전소미,KC_DICTIONARY_ENTRY_INFO_2019,2019
투모로우바이투게더,KC_DICTIONARY_ENTRY_INFO_2019,2019
엑소,KC_DICTIONARY_ENTRY_INFO_2019,2019
오마이걸,KC_DICTIONARY_ENTRY_INFO_2019,2019
네오 컬쳐 테크놀로지,KC_DICTIONARY_ENTRY_INFO_2019,2019
슈퍼엠,KC_DICTIONARY_ENTRY_INFO_2019,2019
원어스,KC_DICTIONARY_ENTRY_INFO_2019,2019
(여자)아이들,KC_DICTIONARY_ENTRY_INFO_2019,2019
마마무,KC_DICTIONARY_ENTRY_INFO_2019,2019
아스트로,KC_DICTIONARY_ENTRY_INFO_2019,2019
몬스타엑스,KC_DICTIONARY_ENTRY_INFO_2019,2019
아이즈원,KC_DICTIONARY_ENTRY_INFO_2019,2019
위너,KC_DICTIONARY_ENTRY_INFO_2019,2019
더보이즈,KC_DICTIONARY_ENTRY_INFO_2019,2019
씨엘씨,KC_DICTIONARY_ENTRY_INFO_2019,2019
데이식스,KC_DICTIONARY_ENTRY_INFO_2019,2019
케이팝,KC_DICTIONARY_ENTRY_INFO_2019,2019
아미,KC_DICTIONARY_ENTRY_INFO_2019,2019
블링크,KC_DICTIONARY_ENTRY_INFO_2019,2019
원잇,KC_DICTIONARY_ENTRY_INFO_2019,2019
포에버,KC_DICTIONARY_ENTRY_INFO_2019,2019
아이갓세븐,KC_DICTIONARY_ENTRY_INFO_2019,2019
엘프,KC_DICTIONARY_ENTRY_INFO_2019,2019
원스,KC_DICTIONARY_ENTRY_INFO_2019,2019
캐럿,KC_DICTIONARY_ENTRY_INFO_2019,2019
인썸니아,KC_DICTIONARY_ENTRY_INFO_2019,2019
스테이,KC_DICTIONARY_ENTRY_INFO_2019,2019
믿지,KC_DICTIONARY_ENTRY_INFO_2019,2019
에이티니,KC_DICTIONARY_ENTRY_INFO_2019,2019
레베럽,KC_DICTIONARY_ENTRY_INFO_2019,2019
모아,KC_DICTIONARY_ENTRY_INFO_2019,2019
엑소엘,KC_DICTIONARY_ENTRY_INFO_2019,2019
미라클,KC_DICTIONARY_ENTRY_INFO_2019,2019
엔씨티즌,KC_DICTIONARY_ENTRY_INFO_2019,2019
슈퍼엠 서포터즈,KC_DICTIONARY_ENTRY_INFO_2019,2019
투 문,KC_DICTIONARY_ENTRY_INFO_2019,2019
네버랜드,KC_DICTIONARY_ENTRY_INFO_2019,2019
무무,KC_DICTIONARY_ENTRY_INFO_2019,2019
아로하,KC_DICTIONARY_ENTRY_INFO_2019,2019
몬베베,KC_DICTIONARY_ENTRY_INFO_2019,2019
위즈원,KC_DICTIONARY_ENTRY_INFO_2019,2019
이너 서클,KC_DICTIONARY_ENTRY_INFO_2019,2019
더비,KC_DICTIONARY_ENTRY_INFO_2019,2019
체셔,KC_DICTIONARY_ENTRY_INFO_2019,2019
마이 데이,KC_DICTIONARY_ENTRY_INFO_2019,2019
와이지 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
빅히트 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
씨제이이엔엠,KC_DICTIONARY_ENTRY_INFO_2019,2019
위에화 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
제이와이피 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
에스엠 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
드림캐쳐컴퍼니,KC_DICTIONARY_ENTRY_INFO_2019,2019
플레디스 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
케이큐 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
더블랙레이블,KC_DICTIONARY_ENTRY_INFO_2019,2019
더블유엠 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
큐브 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
알비더블유,KC_DICTIONARY_ENTRY_INFO_2019,2019
스타쉽 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
오프더레코드 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
크래커 엔터테인먼트,KC_DICTIONARY_ENTRY_INFO_2019,2019
판타지오,KC_DICTIONARY_ENTRY_INFO_2019,2019
